CountyID,CountyName,Population5Over,PercentSpeakOnlyEnglish,PercentSpeakOnlyEnglishMarginOfError
13311,"White County, Georgia",25927,97.4,0.8
13313,"Whitfield County, Georgia",94705,70,0.9
13315,"Wilcox County, Georgia",8642,95.8,1.1
13317,"Wilkes County, Georgia",9599,95.7,1.1
13319,"Wilkinson County, Georgia",8894,97.9,0.9
13321,"Worth County, Georgia",20269,97.5,0.5
15001,"Hawaii County, Hawaii",175188,81.3,1.2
15003,"Honolulu County, Hawaii",901756,72.2,0.4
15005,"Kalawao County, Hawaii",71,66.2,13.9
15007,"Kauai County, Hawaii",63474,79.1,1.6
15009,"Maui County, Hawaii",146586,79.3,1.1
16001,"Ada County, Idaho",374109,91.6,0.5
16003,"Adams County, Idaho",3769,97.9,1
16005,"Bannock County, Idaho",76421,93.6,0.8
16007,"Bear Lake County, Idaho",5558,96.7,1.6
16009,"Benewah County, Idaho",8635,96.7,1.4
16011,"Bingham County, Idaho",41316,84,1
16013,"Blaine County, Idaho",19942,79.5,1.4
16015,"Boise County, Idaho",6684,95.9,1.4
16017,"Bonner County, Idaho",38690,97.7,0.6
16019,"Bonneville County, Idaho",95760,89.5,0.7
16021,"Boundary County, Idaho",10233,95.7,1.4
16023,"Butte County, Idaho",2611,96.6,3.3
16025,"Camas County, Idaho",1194,83.2,8.3
16027,"Canyon County, Idaho",175509,81.9,0.9
16029,"Caribou County, Idaho",6337,96.7,1
16031,"Cassia County, Idaho",21010,80.6,1.5
16033,"Clark County, Idaho",691,62.2,11.9
16035,"Clearwater County, Idaho",8298,95.2,1.1
16037,"Custer County, Idaho",4114,97.4,1.7
16039,"Elmore County, Idaho",24210,84.9,1.8
16041,"Franklin County, Idaho",11664,92.5,1.4
16043,"Fremont County, Idaho",12035,87.9,0.9
16045,"Gem County, Idaho",15742,91.6,1.1
16047,"Gooding County, Idaho",14131,79.5,2.4
16049,"Idaho County, Idaho",15405,97.7,0.7
16051,"Jefferson County, Idaho",23735,89.8,1.1
16053,"Jerome County, Idaho",20342,75.6,2.2
16055,"Kootenai County, Idaho",131961,96.7,0.5
16057,"Latah County, Idaho",35529,93.8,1
16059,"Lemhi County, Idaho",7485,97.2,1
16061,"Lewis County, Idaho",3644,95.3,1.6
16063,"Lincoln County, Idaho",4809,76.6,2.9
16065,"Madison County, Idaho",33933,89.9,1.5
16067,"Minidoka County, Idaho",18445,72.4,1.9
16069,"Nez Perce County, Idaho",37179,95.7,0.8
16071,"Oneida County, Idaho",3932,95.6,2.1
16073,"Owyhee County, Idaho",10669,78.8,1.9
16075,"Payette County, Idaho",20908,89,1.4
16077,"Power County, Idaho",7016,73.1,3.5
16079,"Shoshone County, Idaho",12107,97.7,0.9
16081,"Teton County, Idaho",9232,83.9,2.8
16083,"Twin Falls County, Idaho",71806,85.6,1
16085,"Valley County, Idaho",9233,92.8,2.3
16087,"Washington County, Idaho",9576,85.9,1.9
17001,"Adams County, Illinois",62983,97.1,0.6
17003,"Alexander County, Illinois",7521,97.5,1.4
17005,"Bond County, Illinois",16448,96.6,1.3
17007,"Boone County, Illinois",50511,81,1.5
17009,"Brown County, Illinois",6625,94.5,1.1
17011,"Bureau County, Illinois",32689,92.5,0.8
17013,"Calhoun County, Illinois",4788,98.4,0.9
17015,"Carroll County, Illinois",14446,95.1,0.9
17017,"Cass County, Illinois",12692,83.1,1.4
17019,"Champaign County, Illinois",190929,84.1,0.5
17021,"Christian County, Illinois",32648,97.9,0.4
17023,"Clark County, Illinois",15316,98,0.6
17025,"Clay County, Illinois",12897,98.3,0.7
17027,"Clinton County, Illinois",35741,96.4,0.7
17029,"Coles County, Illinois",51170,95.9,1
17031,"Cook County, Illinois",4870429,65.5,0.2
17033,"Crawford County, Illinois",18671,97,0.6
17035,"Cumberland County, Illinois",10309,98.4,0.9
17037,"DeKalb County, Illinois",98427,88.2,0.8
17039,"De Witt County, Illinois",15579,98,0.5
17041,"Douglas County, Illinois",18536,81,2.1
17043,"DuPage County, Illinois",866609,73.7,0.4
17045,"Edgar County, Illinois",17309,98.2,0.4
17047,"Edwards County, Illinois",6306,98.6,0.8
17049,"Effingham County, Illinois",32084,97.8,0.6
17051,"Fayette County, Illinois",20826,97.3,1.1
17053,"Ford County, Illinois",13237,97.7,0.6
17055,"Franklin County, Illinois",37171,97.8,0.4
17057,"Fulton County, Illinois",34902,96.8,0.6
17059,"Gallatin County, Illinois",5190,99.6,0.3
17061,"Greene County, Illinois",13001,98.2,0.7
17063,"Grundy County, Illinois",46542,92.6,1
17065,"Hamilton County, Illinois",7919,96.2,2.1
17067,"Hancock County, Illinois",17883,97.8,0.6
17069,"Hardin County, Illinois",4041,98.9,0.8
17071,"Henderson County, Illinois",6840,97.6,1.4
17073,"Henry County, Illinois",47334,95.6,0.5
17075,"Iroquois County, Illinois",27831,93.7,0.7
17077,"Jackson County, Illinois",56951,91.3,1
17079,"Jasper County, Illinois",9117,98.5,0.3
17081,"Jefferson County, Illinois",36353,96.8,0.5
17083,"Jersey County, Illinois",21582,98.4,0.6
17085,"Jo Daviess County, Illinois",21464,95.8,0.8
17087,"Johnson County, Illinois",12073,97.5,0.6
17089,"Kane County, Illinois",480038,68.6,0.6
17091,"Kankakee County, Illinois",105674,91.7,0.6
17093,"Kendall County, Illinois",106767,82.7,1.2
17095,"Knox County, Illinois",49880,95.1,0.6
17097,"Lake County, Illinois",656905,72.2,0.4
17099,"LaSalle County, Illinois",106810,93.6,0.5
17101,"Lawrence County, Illinois",15844,92.2,2.4
17103,"Lee County, Illinois",33569,94.9,0.8
17105,"Livingston County, Illinois",36602,96.2,0.4
17107,"Logan County, Illinois",28672,95.3,0.8
17109,"McDonough County, Illinois",31118,94.1,1.1
17111,"McHenry County, Illinois",289222,85.7,0.5
17113,"McLean County, Illinois",160641,92.5,0.4
17115,"Macon County, Illinois",103460,96.6,0.4
17117,"Macoupin County, Illinois",44829,97.7,0.4
17119,"Madison County, Illinois",252221,96.7,0.3
17121,"Marion County, Illinois",36555,97.5,0.6
17123,"Marshall County, Illinois",11807,96.6,0.7
17125,"Mason County, Illinois",13795,98.2,0.6
17127,"Massac County, Illinois",14349,98.1,0.8
17129,"Menard County, Illinois",11990,98.4,0.5
17131,"Mercer County, Illinois",15415,97.9,0.6
17133,"Monroe County, Illinois",31272,96.8,0.8
17135,"Montgomery County, Illinois",28249,97.3,0.5
17137,"Morgan County, Illinois",33528,97,0.6
17139,"Moultrie County, Illinois",13951,90.4,2.7
17141,"Ogle County, Illinois",50184,92.8,0.6
17143,"Peoria County, Illinois",174319,92.6,0.5
17145,"Perry County, Illinois",21079,97,0.7
17147,"Piatt County, Illinois",15719,98.2,0.6
17149,"Pike County, Illinois",15378,97.6,1
17151,"Pope County, Illinois",4229,96.6,1.3
17153,"Pulaski County, Illinois",5694,97.5,1.3
17155,"Putnam County, Illinois",5634,95.5,1
17157,"Randolph County, Illinois",31495,97.4,0.6
17159,"Richland County, Illinois",15250,96.3,1.1
17161,"Rock Island County, Illinois",137989,88.5,0.6
17163,"St. Clair County, Illinois",250929,95.2,0.4
17165,"Saline County, Illinois",23475,97.7,0.7
17167,"Sangamon County, Illinois",185906,94.8,0.4
17169,"Schuyler County, Illinois",7096,98.2,0.6
17171,"Scott County, Illinois",5001,98.9,0.7
17173,"Shelby County, Illinois",21029,98.5,0.7
17175,"Stark County, Illinois",5645,98.4,0.5
17177,"Stephenson County, Illinois",44597,96.4,0.6
17179,"Tazewell County, Illinois",127309,97.1,0.4
17181,"Union County, Illinois",16765,94,0.9
17183,"Vermilion County, Illinois",75782,95.3,0.4
17185,"Wabash County, Illinois",11165,97.5,1
17187,"Warren County, Illinois",16730,90,1.2
17189,"Washington County, Illinois",13859,96.9,0.7
17191,"Wayne County, Illinois",15604,97.7,0.8
17193,"White County, Illinois",13710,98.5,0.6
17195,"Whiteside County, Illinois",54746,94,0.8
17197,"Will County, Illinois",633272,80.1,0.5
17199,"Williamson County, Illinois",62551,97.1,0.3
17201,"Winnebago County, Illinois",274165,87.6,0.4
17203,"Woodford County, Illinois",36394,97.7,0.4
18001,"Adams County, Indiana",31244,83.2,2.9
18003,"Allen County, Indiana",331927,90.3,0.5
18005,"Bartholomew County, Indiana",72752,90.4,0.6
18007,"Benton County, Indiana",8243,95.3,0.8
18009,"Blackford County, Indiana",11920,98.4,0.8
18011,"Boone County, Indiana",54145,95.6,0.7
18013,"Brown County, Indiana",14459,96.6,0.9
18015,"Carroll County, Indiana",18977,95.4,1
18017,"Cass County, Indiana",36207,86.6,1
18019,"Clark County, Indiana",103940,94.8,0.4
18021,"Clay County, Indiana",25283,98.5,0.4
18023,"Clinton County, Indiana",30768,87.5,0.9
18025,"Crawford County, Indiana",10036,99,0.5
18027,"Daviess County, Indiana",29257,85.3,1.5
18029,"Dearborn County, Indiana",47008,97.8,0.4
18031,"Decatur County, Indiana",24321,97.8,0.7
18033,"DeKalb County, Indiana",39555,97.2,0.6
18035,"Delaware County, Indiana",111366,97.1,0.3
18037,"Dubois County, Indiana",39467,92.1,0.9
18039,"Elkhart County, Indiana",183005,81.9,0.7
18041,"Fayette County, Indiana",22720,97.7,0.4
18043,"Floyd County, Indiana",70662,95.8,0.4
18045,"Fountain County, Indiana",16065,97.2,0.8
18047,"Franklin County, Indiana",21674,98.1,0.6
18049,"Fulton County, Indiana",19389,92.5,1.3
18051,"Gibson County, Indiana",31328,98,0.6
18053,"Grant County, Indiana",65719,97.1,0.5
18055,"Greene County, Indiana",31108,98.8,0.4
18057,"Hamilton County, Indiana",261806,90.7,0.5
18059,"Hancock County, Indiana",66322,97.8,0.4
18061,"Harrison County, Indiana",36906,98,0.6
18063,"Hendricks County, Indiana",138684,94.3,0.5
18065,"Henry County, Indiana",46860,98,0.4
18067,"Howard County, Indiana",77757,95.8,0.6
18069,"Huntington County, Indiana",34863,97.7,0.5
18071,"Jackson County, Indiana",39954,92.9,0.6
18073,"Jasper County, Indiana",31270,94.7,1
18075,"Jay County, Indiana",19798,95.4,1.1
18077,"Jefferson County, Indiana",30590,96.6,0.7
18079,"Jennings County, Indiana",26594,97.2,0.8
18081,"Johnson County, Indiana",132270,94.3,0.7
18083,"Knox County, Indiana",35911,97.9,0.5
18085,"Kosciusko County, Indiana",72239,89.4,0.9
18087,"LaGrange County, Indiana",33730,60,2.3
18089,"Lake County, Indiana",461704,85.5,0.5
18091,"LaPorte County, Indiana",104715,94.7,0.5
18093,"Lawrence County, Indiana",43363,97.3,0.7
18095,"Madison County, Indiana",123032,96.8,0.4
18097,"Marion County, Indiana",843399,87.6,0.2
18099,"Marshall County, Indiana",43885,89.2,1
18101,"Martin County, Indiana",9644,97.6,0.9
18103,"Miami County, Indiana",34598,95.3,0.7
18105,"Monroe County, Indiana",133195,90.1,0.6
18107,"Montgomery County, Indiana",35854,95.4,0.7
18109,"Morgan County, Indiana",65068,97.8,0.4
18111,"Newton County, Indiana",13373,97,1.1
18113,"Noble County, Indiana",44287,88,1.2
18115,"Ohio County, Indiana",5800,98.5,1
18117,"Orange County, Indiana",18653,98.4,1.2
18119,"Owen County, Indiana",20296,97.5,0.9
18121,"Parke County, Indiana",16235,93.7,1.8
18123,"Perry County, Indiana",18267,97.8,0.9
18125,"Pike County, Indiana",12031,99.1,0.5
18127,"Porter County, Indiana",155682,93.4,0.5
18129,"Posey County, Indiana",24297,97.2,0.9
18131,"Pulaski County, Indiana",12533,98,0.9
18133,"Putnam County, Indiana",35933,96.4,0.7
18135,"Randolph County, Indiana",24604,97.3,0.7
18137,"Ripley County, Indiana",26804,97.5,0.7
18139,"Rush County, Indiana",16314,97.8,0.6
18141,"St. Joseph County, Indiana",249124,90.4,0.4
18143,"Scott County, Indiana",22613,98,0.7
18145,"Shelby County, Indiana",41726,95.6,0.5
18147,"Spencer County, Indiana",19736,96.2,0.7
18149,"Starke County, Indiana",21912,96.8,0.9
18151,"Steuben County, Indiana",32351,96.3,0.7
18153,"Sullivan County, Indiana",20136,98.2,0.4
18155,"Switzerland County, Indiana",9746,95,2.3
18157,"Tippecanoe County, Indiana",164617,85.6,0.6
18159,"Tipton County, Indiana",15060,96.8,0.9
18161,"Union County, Indiana",6983,98.2,0.9
18163,"Vanderburgh County, Indiana",168673,96,0.5
18165,"Vermillion County, Indiana",15247,97.8,0.9
18167,"Vigo County, Indiana",101842,94.4,0.5
18169,"Wabash County, Indiana",30765,96.6,0.6
18171,"Warren County, Indiana",7990,98.4,0.7
18173,"Warrick County, Indiana",56337,96.4,0.6
18175,"Washington County, Indiana",26442,97.7,0.7
18177,"Wayne County, Indiana",64298,95,0.6
18179,"Wells County, Indiana",25922,96.8,0.7
18181,"White County, Indiana",23047,94,1.4
18183,"Whitley County, Indiana",31177,97.8,0.6
19001,"Adair County, Iowa",7188,98.9,0.5
19003,"Adams County, Iowa",3747,98.8,0.7
19005,"Allamakee County, Iowa",13365,92,1.5
19007,"Appanoose County, Iowa",11986,97.7,0.9
19009,"Audubon County, Iowa",5703,98.8,0.4
19011,"Benton County, Iowa",24374,98,0.5
19013,"Black Hawk County, Iowa",123173,92.3,0.5
19015,"Boone County, Iowa",24908,97.1,0.7
19017,"Bremer County, Iowa",23034,97.8,0.6
19019,"Buchanan County, Iowa",19420,94,2
19021,"Buena Vista County, Iowa",18874,70.5,0.8
19023,"Butler County, Iowa",13954,98,0.5
19025,"Calhoun County, Iowa",9408,98.1,0.5
19027,"Carroll County, Iowa",19349,97.3,0.9
19029,"Cass County, Iowa",12919,97.5,0.6
19031,"Cedar County, Iowa",17347,97.1,0.8
19033,"Cerro Gordo County, Iowa",41477,96.2,0.6
19035,"Cherokee County, Iowa",11390,96.8,0.9
19037,"Chickasaw County, Iowa",11613,95.8,1
19039,"Clarke County, Iowa",8582,91.2,1.9
19041,"Clay County, Iowa",15565,96.3,0.8
19043,"Clayton County, Iowa",16925,96.6,0.8
19045,"Clinton County, Iowa",45836,97.7,0.4
19047,"Crawford County, Iowa",15926,77.5,2.3
19049,"Dallas County, Iowa",63562,91.4,0.7
19051,"Davis County, Iowa",8013,85.6,3.7
19053,"Decatur County, Iowa",7819,94.1,2.1
19055,"Delaware County, Iowa",16586,97.7,0.8
19057,"Des Moines County, Iowa",37753,97.4,0.5
19059,"Dickinson County, Iowa",15963,98.1,0.5
19061,"Dubuque County, Iowa",88535,96.9,0.4
19063,"Emmet County, Iowa",9563,92,1
19065,"Fayette County, Iowa",19593,97.4,0.8
19067,"Floyd County, Iowa",15136,94.9,1.4
19069,"Franklin County, Iowa",9998,89.9,2
19071,"Fremont County, Iowa",6840,98.5,0.5
19073,"Greene County, Iowa",8763,98.1,0.8
19075,"Grundy County, Iowa",11618,97.7,0.5
19077,"Guthrie County, Iowa",10268,97.9,0.6
19079,"Hamilton County, Iowa",14656,94,0.9
19081,"Hancock County, Iowa",10561,97.1,0.8
19083,"Hardin County, Iowa",16455,96,0.7
19085,"Harrison County, Iowa",13871,98.2,0.6
19087,"Henry County, Iowa",18944,95.6,0.9
19089,"Howard County, Iowa",8869,94,1.7
19091,"Humboldt County, Iowa",9158,96.8,0.5
19093,"Ida County, Iowa",6615,97.2,1.2
19095,"Iowa County, Iowa",15387,96.3,0.8
19097,"Jackson County, Iowa",18680,97.7,0.8
19099,"Jasper County, Iowa",34629,97.3,0.5
19101,"Jefferson County, Iowa",16087,88.9,1.9
19103,"Johnson County, Iowa",125836,86.7,0.7
19105,"Jones County, Iowa",19519,97.2,0.5
19107,"Keokuk County, Iowa",9784,98.2,0.6
19109,"Kossuth County, Iowa",14558,97.6,0.6
19111,"Lee County, Iowa",33695,97.3,0.6
19113,"Linn County, Iowa",199441,95.3,0.4
19115,"Louisa County, Iowa",10721,85,1.1
19117,"Lucas County, Iowa",8331,89.8,3.4
19119,"Lyon County, Iowa",10727,98,0.5
19121,"Madison County, Iowa",14578,98.2,0.6
19123,"Mahaska County, Iowa",21020,97.6,0.7
19125,"Marion County, Iowa",31189,97.1,0.5
19127,"Marshall County, Iowa",37959,81.6,0.9
19129,"Mills County, Iowa",14090,97.6,0.7
19131,"Mitchell County, Iowa",10120,94.5,2
19133,"Monona County, Iowa",8711,97.4,0.8
19135,"Monroe County, Iowa",7535,94.9,1.9
19137,"Montgomery County, Iowa",10044,96.8,0.9
19139,"Muscatine County, Iowa",39810,85.6,1.1
19141,"O'Brien County, Iowa",13383,95.5,1
19143,"Osceola County, Iowa",5932,93.6,0.8
19145,"Page County, Iowa",14952,96.6,0.9
19147,"Palo Alto County, Iowa",8768,97.9,0.7
19149,"Plymouth County, Iowa",23356,95.1,1
19151,"Pocahontas County, Iowa",6866,97.5,0.8
19153,"Polk County, Iowa",405669,87.5,0.5
19155,"Pottawattamie County, Iowa",86799,93.8,0.5
19157,"Poweshiek County, Iowa",17799,95.4,0.8
19159,"Ringgold County, Iowa",4784,90,4.2
19161,"Sac County, Iowa",9656,97.2,0.6
19163,"Scott County, Iowa",155927,94.4,0.4
19165,"Shelby County, Iowa",11425,97.2,0.7
19167,"Sioux County, Iowa",31453,90.5,0.6
19169,"Story County, Iowa",86267,90.7,0.7
19171,"Tama County, Iowa",16618,89.5,1.2
19173,"Taylor County, Iowa",5929,91.9,0.8
19175,"Union County, Iowa",11782,98,0.8
19177,"Van Buren County, Iowa",7043,94.8,1.8
19179,"Wapello County, Iowa",33232,89.5,0.7
19181,"Warren County, Iowa",43676,97.8,0.5
19183,"Washington County, Iowa",20517,91.3,1.2
19185,"Wayne County, Iowa",5969,97.6,1.1
19187,"Webster County, Iowa",35402,96.7,0.6
19189,"Winnebago County, Iowa",10180,94,1.4
19191,"Winneshiek County, Iowa",20059,96.4,0.7
19193,"Woodbury County, Iowa",94398,85.3,0.6
19195,"Worth County, Iowa",7147,97.3,1
19197,"Wright County, Iowa",12302,91,1
20001,"Allen County, Kansas",12539,99,0.4
20003,"Anderson County, Kansas",7368,95.8,2.6
20005,"Atchison County, Kansas",15806,98.3,0.7
20007,"Barber County, Kansas",4612,97.8,1.1
20009,"Barton County, Kansas",25684,86.8,0.8
20011,"Bourbon County, Kansas",13966,97.8,0.7
20013,"Brown County, Kansas",9234,97.8,0.5
20015,"Butler County, Kansas",61686,96.8,0.5
20017,"Chase County, Kansas",2627,95.4,1.1
20019,"Chautauqua County, Kansas",3396,97.8,1
20021,"Cherokee County, Kansas",20038,97.4,0.9
20023,"Cheyenne County, Kansas",2586,96.7,1.3
20025,"Clark County, Kansas",2061,92.1,3.7
20027,"Clay County, Kansas",7927,97.1,1.9
20029,"Cloud County, Kansas",8803,96.3,1.4
20031,"Coffey County, Kansas",8045,98.6,0.6
20033,"Comanche County, Kansas",1777,96.3,2.1
20035,"Cowley County, Kansas",33825,91.7,0.8
20037,"Crawford County, Kansas",36797,94.4,0.8
20039,"Decatur County, Kansas",2786,96.8,1.5
20041,"Dickinson County, Kansas",18434,97.2,0.7
20043,"Doniphan County, Kansas",7465,98.4,0.6
20045,"Douglas County, Kansas",106103,90.1,0.8
20047,"Edwards County, Kansas",2831,81,1.4
20049,"Elk County, Kansas",2657,94.9,2.5
20051,"Ellis County, Kansas",26818,92.9,1
20053,"Ellsworth County, Kansas",6139,96.1,1.1
20055,"Finney County, Kansas",33354,60.9,1.9
20057,"Ford County, Kansas",30920,54.7,1.7
20059,"Franklin County, Kansas",24085,97.5,0.8
20061,"Geary County, Kansas",31565,86.3,1.5
20063,"Gove County, Kansas",2614,98,0.8
20065,"Graham County, Kansas",2454,98.1,0.9
20067,"Grant County, Kansas",7162,67.4,4.5
20069,"Gray County, Kansas",5518,84.4,1.9
20071,"Greeley County, Kansas",1145,90.3,4
20073,"Greenwood County, Kansas",6224,98.7,0.7
20075,"Hamilton County, Kansas",2443,74.8,5
20077,"Harper County, Kansas",5551,95,0.8
20079,"Harvey County, Kansas",32429,91,1.2
20081,"Haskell County, Kansas",3942,66.4,3.5
20083,"Hodgeman County, Kansas",1824,92.4,2.8
20085,"Jackson County, Kansas",12584,96.7,0.9
20087,"Jefferson County, Kansas",17912,97.7,0.8
20089,"Jewell County, Kansas",2927,97.5,1
20091,"Johnson County, Kansas",514305,88.8,0.4
20093,"Kearny County, Kansas",3648,74.4,3
20095,"Kingman County, Kansas",7414,97.5,0.9
20097,"Kiowa County, Kansas",2380,96.1,1.5
20099,"Labette County, Kansas",20039,96.2,1
20101,"Lane County, Kansas",1558,95.3,1.1
20103,"Leavenworth County, Kansas",71873,93.9,0.7
20105,"Lincoln County, Kansas",3002,96,1
20107,"Linn County, Kansas",9051,98.5,0.8
20109,"Logan County, Kansas",2584,95.9,1.1
20111,"Lyon County, Kansas",31391,82.9,1.2
20113,"McPherson County, Kansas",27554,95.2,0.8
20115,"Marion County, Kansas",11832,95.4,1.1
20117,"Marshall County, Kansas",9453,98.1,0.7
20119,"Meade County, Kansas",4150,84.1,2.9
20121,"Miami County, Kansas",30696,98.2,0.6
20123,"Mitchell County, Kansas",5985,97.1,1
20125,"Montgomery County, Kansas",32604,95.6,0.8
20127,"Morris County, Kansas",5583,97.7,1
20129,"Morton County, Kansas",2991,81.2,4.1
20131,"Nemaha County, Kansas",9498,98.8,0.4
20133,"Neosho County, Kansas",15318,96.3,0.9
20135,"Ness County, Kansas",2908,91.7,1.4
20137,"Norton County, Kansas",5392,94.9,1.1
20139,"Osage County, Kansas",15246,97.5,0.6
20141,"Osborne County, Kansas",3640,98.4,0.7
20143,"Ottawa County, Kansas",5702,98.1,0.6
20145,"Pawnee County, Kansas",6642,94.3,1.9
20147,"Phillips County, Kansas",5254,98.5,0.7
20149,"Pottawatomie County, Kansas",20092,96.3,1
20151,"Pratt County, Kansas",9005,95,1
20153,"Rawlins County, Kansas",2422,94.7,1.5
20155,"Reno County, Kansas",60152,92.9,0.8
20157,"Republic County, Kansas",4659,97.9,0.8
20159,"Rice County, Kansas",9392,90.7,1.7
20161,"Riley County, Kansas",68209,91.7,0.7
20163,"Rooks County, Kansas",4887,97.2,1.3
20165,"Rush County, Kansas",3074,96.4,1.3
20167,"Russell County, Kansas",6562,96.8,1.4
20169,"Saline County, Kansas",51717,90.5,0.9
20171,"Scott County, Kansas",4582,80.1,7.3
20173,"Sedgwick County, Kansas",461842,86.4,0.4
20175,"Seward County, Kansas",20787,43.5,1.7
20177,"Shawnee County, Kansas",166126,91.6,0.6
20179,"Sheridan County, Kansas",2402,97.3,1.9
20181,"Sherman County, Kansas",5599,92.1,2.4
20183,"Smith County, Kansas",3598,98.9,0.8
20185,"Stafford County, Kansas",4137,88.7,1
20187,"Stanton County, Kansas",2002,65.3,6.6
20189,"Stevens County, Kansas",5232,71.1,5.2
20191,"Sumner County, Kansas",22308,98.1,0.7
20193,"Thomas County, Kansas",7395,95.5,1.7
20195,"Trego County, Kansas",2837,94.6,2.8
20197,"Wabaunsee County, Kansas",6570,98.6,0.6
20199,"Wallace County, Kansas",1466,91.4,3.2
20201,"Washington County, Kansas",5426,96.9,0.5
20203,"Wichita County, Kansas",2064,74.9,7.1
20205,"Wilson County, Kansas",8662,97.9,0.6
20207,"Woodson County, Kansas",3107,98.5,0.6
20209,"Wyandotte County, Kansas",144677,75.7,0.7
21001,"Adair County, Kentucky",17671,98,0.8
21003,"Allen County, Kentucky",18862,94.7,2.1
21005,"Anderson County, Kentucky",20161,97.3,1.1
21007,"Ballard County, Kentucky",7828,98.2,0.8
21009,"Barren County, Kentucky",39819,96.7,0.6
21011,"Bath County, Kentucky",10927,98.7,0.7
21013,"Bell County, Kentucky",26747,99.1,0.3
21015,"Boone County, Kentucky",112290,93.7,0.6
21017,"Bourbon County, Kentucky",18760,93.7,1
21019,"Boyd County, Kentucky",46498,98,0.5
21021,"Boyle County, Kentucky",27130,96,0.9
21023,"Bracken County, Kentucky",7914,98.6,0.5
21025,"Breathitt County, Kentucky",13001,98.3,0.7
21027,"Breckinridge County, Kentucky",18909,97.2,1
21029,"Bullitt County, Kentucky",70867,98.3,0.3
21031,"Butler County, Kentucky",12015,97.1,1.1
21033,"Caldwell County, Kentucky",12160,99.2,0.8
21035,"Calloway County, Kentucky",35447,94.5,0.9
21037,"Campbell County, Kentucky",84855,96.1,0.6
21039,"Carlisle County, Kentucky",4749,98.8,0.7
21041,"Carroll County, Kentucky",10012,92.3,1.4
21043,"Carter County, Kentucky",25747,99.4,0.3
21045,"Casey County, Kentucky",14975,96.5,1.4
21047,"Christian County, Kentucky",67058,93.4,0.7
21049,"Clark County, Kentucky",33348,97.7,0.5
21051,"Clay County, Kentucky",20175,98.1,0.5
21053,"Clinton County, Kentucky",9581,98.5,0.7
21055,"Crittenden County, Kentucky",8720,92.4,2.5
21057,"Cumberland County, Kentucky",6441,98.4,1.2
21059,"Daviess County, Kentucky",90719,96.6,0.5
21061,"Edmonson County, Kentucky",11498,97.3,1.1
21063,"Elliott County, Kentucky",7404,97.9,1
21065,"Estill County, Kentucky",13759,99.1,0.5
21067,"Fayette County, Kentucky",281678,88.1,0.4
21069,"Fleming County, Kentucky",13562,97.2,1.6
21071,"Floyd County, Kentucky",36973,99.1,0.3
21073,"Franklin County, Kentucky",46487,95,0.7
21075,"Fulton County, Kentucky",6235,97,1.8
21077,"Gallatin County, Kentucky",7921,94.6,1.5
21079,"Garrard County, Kentucky",15973,97.5,0.9
21081,"Grant County, Kentucky",22784,97.1,0.6
21083,"Graves County, Kentucky",34736,93.1,1
21085,"Grayson County, Kentucky",24119,98.6,0.5
21087,"Green County, Kentucky",10600,98.3,0.8
21089,"Greenup County, Kentucky",34755,98.6,0.4
21091,"Hancock County, Kentucky",8066,98.2,0.5
21093,"Hardin County, Kentucky",98430,92.4,0.8
21095,"Harlan County, Kentucky",27137,98.6,0.4
21097,"Harrison County, Kentucky",17569,96.5,0.9
21099,"Hart County, Kentucky",17186,93,1.8
21101,"Henderson County, Kentucky",43266,96.9,0.6
21103,"Henry County, Kentucky",14500,96.7,0.5
21105,"Hickman County, Kentucky",4585,98.6,1
21107,"Hopkins County, Kentucky",43824,97.3,0.5
21109,"Jackson County, Kentucky",12628,99.3,0.6
21111,"Jefferson County, Kentucky",697718,91.7,0.2
21113,"Jessamine County, Kentucky",45771,95.9,0.9
21115,"Johnson County, Kentucky",21977,98.9,0.6
21117,"Kenton County, Kentucky",149238,95.8,0.4
21119,"Knott County, Kentucky",15286,98.7,0.6
21121,"Knox County, Kentucky",29847,98.6,1.1
21123,"Larue County, Kentucky",13414,97,1.1
21125,"Laurel County, Kentucky",55335,98.2,0.4
21127,"Lawrence County, Kentucky",14791,98.6,0.9
21129,"Lee County, Kentucky",7226,99,0.7
21131,"Leslie County, Kentucky",10530,99.7,0.2
21133,"Letcher County, Kentucky",22705,99.1,0.4
21135,"Lewis County, Kentucky",13013,98,0.9
21137,"Lincoln County, Kentucky",22988,99,0.5
21139,"Livingston County, Kentucky",8954,98.1,1.1
21141,"Logan County, Kentucky",25101,96.1,1.1
21143,"Lyon County, Kentucky",8096,97.4,1.4
21145,"McCracken County, Kentucky",61752,96.8,0.5
21147,"McCreary County, Kentucky",17031,96.9,0.8
21149,"McLean County, Kentucky",8979,97.9,0.6
21151,"Madison County, Kentucky",79060,97,0.5
21153,"Magoffin County, Kentucky",12425,99.7,0.3
21155,"Marion County, Kentucky",18621,96.5,1.2
21157,"Marshall County, Kentucky",29581,98.5,0.5
21159,"Martin County, Kentucky",12107,97.1,1.1
21161,"Mason County, Kentucky",16289,96.7,1.3
21163,"Meade County, Kentucky",27057,97.1,0.7
21165,"Menifee County, Kentucky",6030,96.9,2.4
21167,"Mercer County, Kentucky",19986,98,0.9
21169,"Metcalfe County, Kentucky",9381,98.9,0.8
21171,"Monroe County, Kentucky",10297,96.7,1.3
21173,"Montgomery County, Kentucky",24927,98.3,0.5
21175,"Morgan County, Kentucky",12956,98.3,0.4
